Region,water,Latitude_N,Longitude,Location,Depth_m,Depth_range,SCOC (mmol O2 m-2 d-1),ex_in_situ,Measurement_sampling_device,TOU_DOU_AOU,sediment_type,photosynthetic_sediment,study
E Greenland continental margin,Arctic Ocean,78.93,-5.2,exact location,1075,continental slope (>200-2000m),0.35,in situ,lander with microprofiler,DOU,NA,not investigated,no
NW Atlantic Ocean,Atlantic Ocean,39.79,-70.16,exact location,2750,abyssal plain/ continental rise (>2000m),0.35,in situ,lander with benthic chambers,TOU,clayey silt,not investigated,no
Bermuda Atlantic Time-series Study (BATS),Atlantic Ocean,31.67,-64.17,approximated location,4400,abyssal plain/ continental rise (>2000m),0.35,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Chukchi Sea,Arctic Ocean,72.69,-158.45,exact location,216,continental slope (>200-2000m),0.36,ex situ ,core incubation,TOU,NA,not investigated,no
E Greenland continental margin,Arctic Ocean,78.93,-5.2,exact location,1075,continental slope (>200-2000m),0.36,ex situ,core microprofiling,DOU,NA,not investigated,no
NW Atlantic Ocean,Atlantic Ocean,32.9,-69.6333,exact location,5380,abyssal plain/ continental rise (>2000m),0.36,in situ,lander with microprofiler,DOU,NA,not investigated,no
Ceara Rise,Atlantic Ocean,4.4156,-43.6523,approximated location,3270,abyssal plain/ continental rise (>2000m),0.36,in situ,lander with microprofiler,DOU,NA,not investigated,no
Ceara Rise,Atlantic Ocean,4.7845,-43.3678,approximated location,4685,abyssal plain/ continental rise (>2000m),0.36,in situ,lander with microprofiler,DOU,NA,not investigated,no
W European basin,Atlantic Ocean,47,-19,approximated location,3800,abyssal plain/ continental rise (>2000m),0.36,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Bering Sea,Pacific Ocean,62.5128,-175.303,exact location,72,continental shelf (>50-200m),0.36,ex situ ,core incubation,TOU,silt,NA,no
Bering Sea,Pacific Ocean,62.51,-175.3,exact location,72,continental shelf (>50-200m),0.36,ex situ ,core incubation,TOU,NA,NA,no
equatorial Pacific Ocean,Pacific Ocean,5.07,-136.11,exact location,4660,abyssal plain/ continental rise (>2000m),0.36,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Station M,Pacific Ocean,34.87,-123.15,exact location,4080,abyssal plain/ continental rise (>2000m),0.36,in situ,lander with benthic chambers,TOU,silty clay,not investigated,no
California,Pacific Ocean,32.4,-120.6,exact location,3707,abyssal plain/ continental rise (>2000m),0.36,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Amundsen Sea,Southern Ocean,-72.05,-120.93,exact location,2384,abyssal plain/ continental rise (>2000m),0.36,in situ,lander with microprofiler,DOU,NA,not investigated,no
