Region,water,Latitude_N,Longitude,Location,Depth_m,Depth_range,SCOC (mmol O2 m-2 d-1),ex_in_situ,Measurement_sampling_device,TOU_DOU_AOU,sediment_type,photosynthetic_sediment,study
"Buzzard Bay, Massachusetts",Atlantic Ocean,41.48,-70.9,approximated location,10,near-shore (0-50m),18.7,ex situ ,core incubation,TOU,NA,no,no
"Taean Bay, Korean Peninsula",Pacific Ocean,36.7314,126.1771,approximated location,6,near-shore (0-50m),18.7,ex situ ,core incubation,TOU,sandy silt,yes,no
Young Sound,Arctic Ocean,74.3,-20.3,approximated location,9.3,near-shore (0-50m),18.72,in situ,eddy covariance system,TOU,coarse silty sand,yes,no
"Moreton Bay, Deception Bay",Pacific Ocean,-27.13,153.07,approximated location,29,near-shore (0-50m),18.77,ex situ ,core incubation,TOU,NA,yes,no
Bering Sea,Pacific Ocean,64.8046,-169.026,exact location,46,near-shore (0-50m),18.79,ex situ ,core incubation,TOU,fine sand/ very fine sand,NA,no
"Belgian continental shelf, North Sea",Atlantic Ocean,51.15,2.62,exact location,13,near-shore (0-50m),18.8,ex situ ,core incubation,TOU,NA,no,no
Gulf of Fos,Mediterranean Sea,43.6147,4.9625,exact location,9,near-shore (0-50m),18.8,ex situ,core incubation,TOU,muddy sand,NA,no
Adriatic Sea,Mediterranean Sea,44.22,12.5,approximated location,13,near-shore (0-50m),18.8,in situ,benthic incubation chamber,TOU,clayey silt,NA,no
"Banc d'Arguin, Mauritania",Atlantic Ocean,19.4967,-17.249,approximated location,103,continental shelf (>50-200m),18.84,ex situ,core incubation,TOU,NA,no,no
Mid-Atlantic Bight,Atlantic Ocean,39.4881,-74.2339,approximated location,15,near-shore (0-50m),18.86,in situ,benthic incubation chamber,TOU,NA,yes,no
Chukchi Sea,Arctic Ocean,67.74,-168.44,exact location,47,near-shore (0-50m),18.89,ex situ ,core incubation,TOU,NA,NA,no
Baltic Sea-North Sea transition,Atlantic Ocean,57.9156,9.9099,approximated location,65,continental shelf (>50-200m),18.9,ex situ,core microprofiling,DOU,silty mud,no,no
Makham Bay,Indian Ocean,7.83,98.4,approximated location,1,near-shore (0-50m),18.9,ex situ ,core incubation,TOU,silt,yes,no
Gulf of Fos,Mediterranean Sea,43.6147,4.9625,exact location,9,near-shore (0-50m),18.9,ex situ,core incubation,TOU,muddy sand,NA,no
Deception Island,Southern Ocean,-62.96,-60.64,exact location,155,continental shelf (>50-200m),18.9,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Bering Sea,Pacific Ocean,62.9632,-172.9778,exact location,67,continental shelf (>50-200m),18.91,ex situ ,core incubation,TOU,NA,NA,no
Louisiana continental shelf,Atlantic Ocean,29.12,-89.7417,exact location,18,near-shore (0-50m),19,in situ,benthic incubation chamber,TOU,silt/ clay,NA,no
Oregon shelf,Pacific Ocean,43.93,-124.25,exact location,80,continental shelf (>50-200m),19,ex situ ,core incubation,TOU,fine sand/ silt,NA,no
Australia,Pacific Ocean,-38.17,144.94,approximated location,24,near-shore (0-50m),19,in situ,benthic incubation chamber,TOU,NA,no,no
Gulf of Valencia,Mediterranean Sea,39.0103,-0.1553,exact location,9,near-shore (0-50m),19.08602151,in situ,benthic incubation chamber,TOU,fine sand,yes,no
Plum Island Sound Estuary,Atlantic Ocean,42.7,-70.79,approximated location,2.5,near-shore (0-50m),19.1,ex situ ,core incubation,TOU,NA,yes,no
NE Atlantic Ocean,Atlantic Ocean,48.95,-16.35,exact location,4860,abyssal plain/ continental rise (>2000m),19.1,in situ,lander with benthic chambers,TOU,calcareous ooze,not investigated,no
Chukchi Sea,Arctic Ocean,68,-168.94,exact location,58,continental shelf (>50-200m),19.12,ex situ ,core incubation,TOU,NA,NA,no
"Laguna de Términos, Mexico",Gulf of Mexico,18.65,-91.65,exact location,4.9,near-shore (0-50m),19.14,ex situ ,core incubation,TOU,NA,yes,no
Bering Sea,Pacific Ocean,65.1823,-168.393,exact location,50,near-shore (0-50m),19.17,ex situ ,core incubation,TOU,fine sand/ silt/ very fine sand,NA,no
Bering Sea,Pacific Ocean,63.03,-173.46,exact location,73,continental shelf (>50-200m),19.19,ex situ ,core incubation,TOU,NA,NA,no
Adriatic Sea,Mediterranean Sea,44.75,12.33,approximated location,15,near-shore (0-50m),19.2,in situ,benthic incubation chamber,TOU,silty clay,NA,no
North Sea,Atlantic Ocean,51.43,2.81,exact location,20,near-shore (0-50m),19.26,ex situ ,core incubation,TOU,coarse sand,no,no
Gulf of Fos,Mediterranean Sea,43.6147,4.9625,exact location,9,near-shore (0-50m),19.3,in situ,lander with microprofiler,DOU,muddy sand,NA,no
Bering Sea,Pacific Ocean,65.01,-168.73,exact location,49,near-shore (0-50m),19.31,ex situ ,core incubation,TOU,NA,no,no
Adriatic Sea,Mediterranean Sea,43.95,13.22,exact location,40,near-shore (0-50m),19.33,in situ,benthic incubation chamber,TOU,silt,no,no
Bering Sea,Pacific Ocean,62.55,-178.5,exact location,97,continental shelf (>50-200m),19.35,ex situ ,core incubation,TOU,NA,NA,no
Chukchi Sea,Arctic Ocean,66.71,-168.4,exact location,30,near-shore (0-50m),19.36,ex situ ,core incubation,TOU,NA,NA,no
Chukchi Sea,Arctic Ocean,68.1,-170.88,exact location,49,near-shore (0-50m),19.41,ex situ ,core incubation,TOU,NA,NA,no
Mid-Atlantic Bight,Atlantic Ocean,39.4667,-74.25,exact location,15,near-shore (0-50m),19.51,in situ,benthic incubation chamber,TOU,NA,yes,no
Chukchi Sea,Arctic Ocean,66.71,-168.4,exact location,35,near-shore (0-50m),19.56,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,62.4,-172.69,exact location,58,continental shelf (>50-200m),19.56,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,62.4025,-172.6903,exact location,58,continental shelf (>50-200m),19.57,ex situ ,core incubation,TOU,silt/ very fine sand,NA,no
Gulf of Fos,Mediterranean Sea,43.6147,4.9625,exact location,9,near-shore (0-50m),19.6,in situ,lander with microprofiler,DOU,muddy sand,NA,no
Bering Sea,Pacific Ocean,61.89,-174.5,exact location,72,continental shelf (>50-200m),19.64,ex situ ,core incubation,TOU,NA,NA,no
Chukchi Sea,Arctic Ocean,67.74,-168.44,exact location,50,near-shore (0-50m),19.67,ex situ ,core incubation,TOU,NA,NA,no
"Curonian Lagoon (SE Baltic Sea, Lithuania)",Atlantic Ocean,55.34,21.21,approximated location,1,near-shore (0-50m),19.68,ex situ ,core microprofiling,DOU,sand,yes,no
Great Barrier Reef shelf,Pacific Ocean,-20.9517,149.08,exact location,5,near-shore (0-50m),19.7,in situ,benthic incubation chamber,TOU,sand/ silt/ clay,yes,no
"Banc d'Arguin, Mauritania",Atlantic Ocean,20.4867,-17.5702,approximated location,19,near-shore (0-50m),19.704,ex situ,core incubation,TOU,NA,no,no
Chukchi Sea,Arctic Ocean,66.6745,-167.3785,exact location,35,near-shore (0-50m),19.8,in situ,lander with benthic chambers,TOU,NA,no,no
Chukchi Sea,Arctic Ocean,67.74,-168.44,exact location,50,near-shore (0-50m),19.86,ex situ ,core incubation,TOU,NA,NA,no
Chukchi Sea,Arctic Ocean,71.6901,-154.6221,exact location,55,continental shelf (>50-200m),19.872,ex situ,core microprofiling,DOU,NA,NA,no
"Buzzard Bay, Massachusetts",Atlantic Ocean,41.56,-70.71,approximated location,10,near-shore (0-50m),19.9,ex situ ,core incubation,TOU,NA,no,no
Adriatic Sea,Mediterranean Sea,44.22,12.48,approximated location,10,near-shore (0-50m),19.9,in situ,benthic incubation chamber,TOU,silty sand,NA,no
Bering Sea,Pacific Ocean,62.41,-174.59,exact location,72,continental shelf (>50-200m),19.91,ex situ ,core incubation,TOU,NA,NA,no
Chukchi Sea,Arctic Ocean,66.71,-168.4,exact location,35,near-shore (0-50m),19.92,ex situ ,core incubation,TOU,NA,NA,no
Chukchi Sea,Arctic Ocean,69.43,-169.62,exact location,1000,continental slope (>200-2000m),19.93,ex situ ,core incubation,TOU,NA,not investigated,no
"Moreton Bay, Deception Bay",Pacific Ocean,-27.13,153.07,approximated location,29,near-shore (0-50m),19.95505618,ex situ ,core incubation,TOU,NA,yes,no
Adriatic Sea,Mediterranean Sea,44.75,12.5,exact location,30,near-shore (0-50m),19.99,in situ,benthic incubation chamber,TOU,silt,no,no
"Boston harbor, Massachusetts",Atlantic Ocean,42.29,-70.89,approximated location,13,near-shore (0-50m),20,ex situ ,core incubation,TOU,sand/ gravel,no,no
German Bight,Atlantic Ocean,54.1732,7.9587,approximated location,22,near-shore (0-50m),20,ex situ,flow through reactor,AOU,sand,NA,no
Gulf of Fos,Mediterranean Sea,43.6147,4.9625,exact location,9,near-shore (0-50m),20,ex situ,core incubation,TOU,muddy sand,NA,no
Gulf of Fos,Mediterranean Sea,43.6147,4.9625,exact location,9,near-shore (0-50m),20,ex situ,core incubation,TOU,muddy sand,NA,no
California,Pacific Ocean,33.75,-118.44,exact location,64,continental shelf (>50-200m),20,in situ,lander with benthic chambers,TOU,NA,no,no
California,Pacific Ocean,33.75,-118.44,exact location,64,continental shelf (>50-200m),20,in situ,lander with benthic chambers,TOU,NA,no,no
"Banc d'Arguin, Mauritania",Atlantic Ocean,19.6663,-17.117,approximated location,22,near-shore (0-50m),20.04,ex situ,core incubation,TOU,silt,no,no
Bering Sea,Pacific Ocean,64,-179.33,exact location,56,continental shelf (>50-200m),20.08,ex situ ,core incubation,TOU,NA,NA,no
Adriatic Sea,Mediterranean Sea,44.753,12.5,exact location,26,near-shore (0-50m),20.14,in situ,lander with microprofiler,DOU,mud,NA,no
Mid-Atlantic Bight,Atlantic Ocean,39.4515,-74.2884,approximated location,11,near-shore (0-50m),20.15,in situ,benthic incubation chamber,TOU,sand,yes,no
Adriatic Sea,Mediterranean Sea,42.74,14.18,exact location,45,near-shore (0-50m),20.19,in situ,lander with microprofiler,DOU,mud,yes,no
"Taean Bay, Korean Peninsula",Pacific Ocean,36.7501,126.182,approximated location,6,near-shore (0-50m),20.2,ex situ ,core incubation,TOU,sandy silt,yes,no
"Banc d'Arguin, Mauritania",Atlantic Ocean,20.2153,-18.4481,approximated location,113,continental shelf (>50-200m),20.208,ex situ,core incubation,TOU,NA,no,no
Chukchi Sea,Arctic Ocean,67.87,-172.55,exact location,49,near-shore (0-50m),20.23,ex situ ,core incubation,TOU,NA,NA,no
"Banc d'Arguin, Mauritania",Atlantic Ocean,19.8894,-17.3795,approximated location,42,near-shore (0-50m),20.232,ex situ,core incubation,TOU,silt,no,no
Chesapeake Bay,Atlantic Ocean,38.509,-76.3776,approximated location,16,near-shore (0-50m),20.3,ex situ ,core incubation,TOU,NA,NA,no
Yemen-Somalia,Indian Ocean,-3.15,40.24,exact location,50,near-shore (0-50m),20.3,ex situ ,core incubation,TOU,NA,no,no
Elorn Estuary,Atlantic Ocean,48.3975,-4.3733,approximated location,1,near-shore (0-50m),20.32,ex situ ,core microprofiling,DOU,NA,yes,no
Elorn Estuary,Atlantic Ocean,48.3975,-4.3733,approximated location,1,near-shore (0-50m),20.32,ex situ ,core microprofiling,DOU,NA,yes,no
Chukchi Sea,Arctic Ocean,67.33,-169.75,exact location,49,near-shore (0-50m),20.34,ex situ ,core incubation,TOU,NA,NA,no
Chesapeake Bay,Atlantic Ocean,39.3853,-76.1216,approximated location,9,near-shore (0-50m),20.4,ex situ ,core incubation,TOU,NA,NA,no
"Banc d'Arguin, Mauritania",Atlantic Ocean,20.2153,-18.4481,approximated location,113,continental shelf (>50-200m),20.4,ex situ,core incubation,TOU,NA,no,no
"Skagerrak, North Sea",Atlantic Ocean,58.2,9.08,exact location,411,continental slope (>200-2000m),20.4,ex situ ,core incubation,TOU,clay,not investigated,no
Bering Sea,Pacific Ocean,56.71,-164.51,exact location,76,continental shelf (>50-200m),20.4,ex situ ,core incubation,TOU,NA,NA,no
Great Barrier Reef shelf,Pacific Ocean,-20.625,149.7217,exact location,49,near-shore (0-50m),20.5,in situ,benthic incubation chamber,TOU,sand,yes,no
Chukchi Sea,Arctic Ocean,67.76,-167.25,exact location,48,near-shore (0-50m),20.56,ex situ ,core incubation,TOU,NA,NA,no
Chesapeake Bay,Atlantic Ocean,37.1988,-76.2119,approximated location,11,near-shore (0-50m),20.57,ex situ ,core incubation,TOU,NA,NA,no
Chesapeake Bay,Atlantic Ocean,38.509,-76.3776,approximated location,16,near-shore (0-50m),20.58,ex situ ,core incubation,TOU,NA,NA,no
"Moreton Bay, Deception Bay",Pacific Ocean,-27.13,153.07,approximated location,29,near-shore (0-50m),20.59,ex situ ,core incubation,TOU,NA,yes,no
"Laguna de Términos, Mexico",Gulf of Mexico,18.67,-91.44,exact location,3.8,near-shore (0-50m),20.61,ex situ ,core incubation,TOU,NA,yes,no
"Boulari Bay, New Caledonia",Pacific Ocean,-22.27,166.5422,exact location,14,near-shore (0-50m),20.775,in situ,benthic incubation chamber,TOU,mud,yes,no
"Buzzard Bay, Massachusetts",Atlantic Ocean,41.55,-70.76,approximated location,10,near-shore (0-50m),20.8,ex situ ,core incubation,TOU,NA,no,no
Chesapeake Bay,Atlantic Ocean,37.1988,-76.2119,approximated location,11,near-shore (0-50m),20.87,ex situ ,core incubation,TOU,NA,NA,no
Chukchi Sea,Arctic Ocean,67.2,-171.8,exact location,47,near-shore (0-50m),20.88,ex situ ,core incubation,TOU,NA,NA,no
Chukchi Sea,Arctic Ocean,67.34,-168.99,exact location,51,continental shelf (>50-200m),20.89,ex situ ,core incubation,TOU,NA,NA,no
Gulf of Fos,Mediterranean Sea,43.6147,4.9625,exact location,9,near-shore (0-50m),20.9,ex situ,core incubation,TOU,muddy sand,NA,no
Bering Sea,Pacific Ocean,56.85,-164.5,exact location,72.9,continental shelf (>50-200m),20.9,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,57.64,-163.28,exact location,46.8,near-shore (0-50m),20.9,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,59.9,-175.81,exact location,130,continental shelf (>50-200m),21,ex situ ,core incubation,TOU,NA,NA,no
California,Pacific Ocean,33.75,-118.44,exact location,64,continental shelf (>50-200m),21,in situ,lander with benthic chambers,TOU,NA,no,no
California,Pacific Ocean,33.75,-118.44,exact location,64,continental shelf (>50-200m),21,in situ,lander with benthic chambers,TOU,NA,no,no
California,Pacific Ocean,33.7,-118.35,exact location,67,continental shelf (>50-200m),21,in situ,lander with benthic chambers,TOU,NA,no,no
California,Pacific Ocean,33.7,-118.35,exact location,67,continental shelf (>50-200m),21,in situ,lander with benthic chambers,TOU,NA,no,no
Gulf of Papua,Pacific Ocean,-8.98,144.15,exact location,50,near-shore (0-50m),21,ex situ ,core incubation,TOU,sand,no,no
Australia,Pacific Ocean,-38.04,144.6,approximated location,8,near-shore (0-50m),21,in situ,benthic incubation chamber,TOU,NA,no,no
Australia,Pacific Ocean,-38.17,144.94,approximated location,24,near-shore (0-50m),21,in situ,benthic incubation chamber,TOU,NA,no,no
Chukchi Sea,Arctic Ocean,68,-168.83,exact location,68,continental shelf (>50-200m),21.02,ex situ ,core incubation,TOU,NA,no,no
North Sea,Atlantic Ocean,53,3.92,exact location,29,near-shore (0-50m),21.02,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,64.8,-168.22,exact location,40,near-shore (0-50m),21.08,ex situ ,core incubation,TOU,NA,no,no
Chukchi Sea,Arctic Ocean,67.67,-168.96,exact location,46,near-shore (0-50m),21.12,ex situ ,core incubation,TOU,NA,NA,no
Gulf of Fos,Mediterranean Sea,43.6147,4.9625,exact location,9,near-shore (0-50m),21.2,ex situ,core incubation,TOU,muddy sand,NA,no
Gulf of Fos,Mediterranean Sea,43.6147,4.9625,exact location,9,near-shore (0-50m),21.2,ex situ,core incubation,TOU,muddy sand,NA,no
Chukchi Sea,Arctic Ocean,66.55,-170.17,exact location,49,near-shore (0-50m),21.21,ex situ ,core incubation,TOU,NA,NA,no
Adriatic Sea,Mediterranean Sea,44.73,12.47,exact location,26,near-shore (0-50m),21.27,in situ,benthic incubation chamber,TOU,silt,no,no
Bering Sea,Pacific Ocean,62.04,-175.25,exact location,79,continental shelf (>50-200m),21.31,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,57,-170.65,exact location,79.6,continental shelf (>50-200m),21.34,ex situ ,core incubation,TOU,NA,NA,no
Chukchi Sea,Arctic Ocean,68.34,-168.33,exact location,49,near-shore (0-50m),21.38,ex situ ,core incubation,TOU,NA,no,no
Bering Sea,Pacific Ocean,62.9714,-172.979,exact location,66,continental shelf (>50-200m),21.41,ex situ ,core incubation,TOU,silt,NA,no
Arctic Ocean,Arctic Ocean,70.177,-133.537,exact location,45,near-shore (0-50m),21.44005848,ex situ ,core incubation,TOU,NA,NA,no
Gulf of Fos,Mediterranean Sea,43.6147,4.9625,exact location,9,near-shore (0-50m),21.5,ex situ,core incubation,TOU,muddy sand,NA,no
Bering Sea,Pacific Ocean,57.35,-167.04,exact location,72,continental shelf (>50-200m),21.5,ex situ ,core incubation,TOU,NA,NA,no
Chesapeake Bay,Atlantic Ocean,37.1988,-76.2119,approximated location,11,near-shore (0-50m),21.55,ex situ ,core incubation,TOU,NA,NA,no
"flat, Neuharlingersiel, North Sea",Atlantic Ocean,53.7025,7.7092,exact location,1.25,near-shore (0-50m),21.672,in situ,benthic incubation chamber,TOU,mud,yes,no
"Buzzard Bay, Massachusetts",Atlantic Ocean,41.49,-70.9,approximated location,10,near-shore (0-50m),21.8,ex situ ,core incubation,TOU,NA,no,no
"Banc d'Arguin, Mauritania",Atlantic Ocean,20.1937,-18.0698,approximated location,33,near-shore (0-50m),21.84,ex situ,core incubation,TOU,NA,no,no
Chukchi Sea,Arctic Ocean,71.7753,-155.1361,exact location,305,continental slope (>200-2000m),21.844,ex situ,core microprofiling,DOU,NA,not investigated,no
Gulf of Valencia,Mediterranean Sea,39.0103,-0.1553,exact location,9,near-shore (0-50m),21.8579235,in situ,benthic incubation chamber,TOU,fine sand,yes,no
Baltic Sea-North Sea transition,Atlantic Ocean,55.3729,11.0046,approximated location,15,near-shore (0-50m),22,ex situ,core microprofiling,DOU,silty mud,no,no
Bering Sea,Pacific Ocean,59.52,-172.5,exact location,67.7,continental shelf (>50-200m),22,ex situ ,core incubation,TOU,NA,NA,no
California,Pacific Ocean,37.6,-122.34,approximated location,14,near-shore (0-50m),22,in situ,benthic incubation chamber,TOU,NA,NA,no
California,Pacific Ocean,33.75,-118.44,exact location,64,continental shelf (>50-200m),22,in situ,lander with benthic chambers,TOU,NA,no,no
California,Pacific Ocean,33.7,-118.35,exact location,67,continental shelf (>50-200m),22,in situ,lander with benthic chambers,TOU,NA,no,no
Australia,Pacific Ocean,-38.04,144.6,approximated location,8,near-shore (0-50m),22,in situ,benthic incubation chamber,TOU,NA,no,no
"Laguna de Términos, Mexico",Gulf of Mexico,18.67,-91.33,exact location,3.3,near-shore (0-50m),22.09,ex situ ,core incubation,TOU,NA,yes,no
NE Atlantic Ocean,Atlantic Ocean,48,-16.3,exact location,4860,abyssal plain/ continental rise (>2000m),22.1,in situ,lander with benthic chambers,TOU,calcareous ooze,not investigated,no
Chukchi Sea,Arctic Ocean,68.16,-168.74,exact location,54,continental shelf (>50-200m),22.11,ex situ ,core incubation,TOU,NA,NA,no
Bering Sea,Pacific Ocean,63.49,-168.17,exact location,25,near-shore (0-50m),22.12,ex situ ,core incubation,TOU,NA,no,no
New Caledonia,Pacific Ocean,-22.257,166.3227,exact location,24,near-shore (0-50m),22.128,ex situ,core incubation,TOU,mud,yes,no
Gulf of Valencia,Mediterranean Sea,39.0103,-0.1553,exact location,9,near-shore (0-50m),22.13114754,in situ,benthic incubation chamber,TOU,fine sand,yes,no
Elorn Estuary,Atlantic Ocean,48.3975,-4.3733,approximated location,1,near-shore (0-50m),22.15,ex situ ,core microprofiling,DOU,NA,yes,no
Bering Sea,Pacific Ocean,64.99,-169.14,exact location,47,near-shore (0-50m),22.15,ex situ ,core incubation,TOU,NA,NA,no
"Fort Kochi, India",Indian Ocean,9.971,76.2451,approximated location,NA,near-shore (0-50m),22.2648,in situ,benthic incubation chamber,TOU,sand,yes,no
Plum Island Sound Estuary,Atlantic Ocean,42.7,-70.79,approximated location,2.5,near-shore (0-50m),22.4,ex situ ,core incubation,TOU,NA,yes,no
"Taean Bay, Korean Peninsula",Pacific Ocean,36.7501,126.182,approximated location,6,near-shore (0-50m),22.4,ex situ ,core incubation,TOU,sandy silt,yes,no
Plum Island Sound Estuary,Atlantic Ocean,42.7,-70.79,approximated location,2.5,near-shore (0-50m),22.5,ex situ ,core incubation,TOU,NA,yes,no
Chesapeake Bay,Atlantic Ocean,38.509,-76.3776,approximated location,16,near-shore (0-50m),22.56,ex situ ,core incubation,TOU,NA,NA,no
New Caledonia,Pacific Ocean,-22.2935,166.2888,exact location,13,near-shore (0-50m),22.5672,ex situ,core microprofiling,DOU,sand,yes,no
Gulf of Mexico,Gulf of Mexico,28.83,-91.17,approximated location,17,near-shore (0-50m),22.6,in situ,benthic incubation chamber,TOU,NA,NA,no
Great Barrier Reef shelf,Pacific Ocean,-20.49,150.075,exact location,44,near-shore (0-50m),22.6,in situ,benthic incubation chamber,TOU,sand/ silt/ clay,yes,no
Bering Sea,Pacific Ocean,62.42,-174.01,exact location,63,continental shelf (>50-200m),22.64,ex situ ,core incubation,TOU,NA,NA,no
"Banc d'Arguin, Mauritania",Atlantic Ocean,19.5578,-17.0846,approximated location,62,continental shelf (>50-200m),22.68,ex situ,core incubation,TOU,silt,no,no
"W Falmouth Harbor, Cape Cod, Massachusetts",Atlantic Ocean,41.6067,-70.6501,exact location,1.5,near-shore (0-50m),22.7,in situ,eddy covariance system ,TOU,sand/ gravel,yes,no
Baltic Sea-North Sea transition,Atlantic Ocean,57.898,11.1443,approximated location,73,continental shelf (>50-200m),22.7,ex situ,core microprofiling,DOU,clayey mud,no,no
"Whitford, New Zealand",Pacific Ocean,-36.91,174.98,approximated location,1,near-shore (0-50m),22.76,in situ,benthic incubation chamber,TOU,mud/ fine sand,yes,no
"Buzzard Bay, Massachusetts",Atlantic Ocean,41.6,-70.7,approximated location,10,near-shore (0-50m),22.8,ex situ ,core incubation,TOU,NA,no,no
Elorn Estuary,Atlantic Ocean,48.3975,-4.3733,approximated location,1,near-shore (0-50m),22.8,ex situ ,core microprofiling,DOU,NA,yes,no
"Curonian Lagoon (SE Baltic Sea, Lithuania)",Atlantic Ocean,55.34,21.21,approximated location,1,near-shore (0-50m),22.8,ex situ ,core microprofiling,DOU,sand,yes,no
Gulf of Mexico,Gulf of Mexico,29.07,-89.46,approximated location,20,near-shore (0-50m),22.8,in situ,benthic incubation chamber,TOU,NA,NA,no
New Caledonia,Pacific Ocean,-22.3815,166.4207,exact location,20,near-shore (0-50m),22.8072,ex situ,core incubation,TOU,sand,yes,no
"Buzzard Bay, Massachusetts",Atlantic Ocean,41.51,-70.91,approximated location,10,near-shore (0-50m),22.9,ex situ ,core incubation,TOU,NA,no,no
Aulne Estuary,Atlantic Ocean,48.22,-4.12,approximated location,1,near-shore (0-50m),22.9,ex situ ,core microprofiling,DOU,NA,yes,no
Chukchi Sea,Arctic Ocean,67.74,-168.44,exact location,50,near-shore (0-50m),22.93,ex situ ,core incubation,TOU,NA,NA,no
Louisiana continental shelf,Atlantic Ocean,28.9983,-89.5033,exact location,13,near-shore (0-50m),23,in situ,benthic incubation chamber,TOU,silt/ clay,NA,no
California,Pacific Ocean,33.72,-118.38,exact location,63,continental shelf (>50-200m),23,in situ,lander with benthic chambers,TOU,NA,no,no
Australia,Pacific Ocean,-38.17,144.94,approximated location,24,near-shore (0-50m),23,in situ,benthic incubation chamber,TOU,NA,no,no
"Banc d'Arguin, Mauritania",Atlantic Ocean,20.1937,-18.0698,approximated location,33,near-shore (0-50m),23.04,ex situ,core incubation,TOU,NA,no,no
Chukchi Sea,Arctic Ocean,66.71,-168.4,exact location,34,near-shore (0-50m),23.05,ex situ ,core incubation,TOU,NA,NA,no
Chesapeake Bay,Atlantic Ocean,37.1988,-76.2119,approximated location,11,near-shore (0-50m),23.07,ex situ ,core incubation,TOU,NA,NA,no
Gulf of Cadiz,Atlantic Ocean,36.5756,-6.3076,approximated location,18,near-shore (0-50m),23.07692308,in situ,benthic incubation chamber,TOU,mud/ sandy mud,yes,no
NE Atlantic Ocean,Atlantic Ocean,48.18,-16.43,exact location,4860,abyssal plain/ continental rise (>2000m),23.1,in situ,lander with benthic chambers,TOU,calcareous ooze,not investigated,no
Frisian Front,Atlantic Ocean,53.7,4.5,exact location,39,near-shore (0-50m),23.1588,ex situ ,core incubation,TOU,fine sand/ silt,no,no
Skagerrak/ Kattegat,Atlantic Ocean,57.8333,11.2167,exact location,56,continental shelf (>50-200m),23.16,ex situ,core incubation,TOU,clayey mud,NA,no
Deception Island,Southern Ocean,-62.96,-60.64,exact location,155,continental shelf (>50-200m),23.2,in situ,lander with benthic chambers,TOU,NA,not investigated,no
Gulf of Papua,Pacific Ocean,-9.21,143.76,exact location,40,near-shore (0-50m),23.33,ex situ ,core incubation,TOU,sand,no,no
"Taean Bay, Korean Peninsula",Pacific Ocean,36.7314,126.1771,approximated location,6,near-shore (0-50m),23.4,ex situ ,core incubation,TOU,sandy silt,yes,no
"Paulina Polder, Westerschelde",Atlantic Ocean,51.36,3.71,exact location,3.9,near-shore (0-50m),23.42,ex situ ,core incubation,TOU,mud,no,no
"Buzzard Bay, Massachusetts",Atlantic Ocean,41.51,-70.91,approximated location,10,near-shore (0-50m),23.5,ex situ ,core incubation,TOU,NA,no,no
Gulf of Papua,Pacific Ocean,-9.06,143.69,exact location,14,near-shore (0-50m),23.5,ex situ ,core incubation,TOU,clay/ silt,no,no
"Boulari Bay, New Caledonia",Pacific Ocean,-22.27,166.5422,exact location,14,near-shore (0-50m),23.55,in situ,benthic incubation chamber,TOU,mud,yes,no
Onslow Bay,Atlantic Ocean,34.1083,-77.3302,approximated location,32,near-shore (0-50m),23.6,in situ,benthic incubation chamber,TOU,limestone outcrop,yes,no
Makham Bay,Indian Ocean,7.83,98.4,approximated location,1,near-shore (0-50m),23.6,ex situ ,core incubation,TOU,silt,yes,no
"Buzzard Bay, Massachusetts",Atlantic Ocean,41.5,-70.89,exact location,17,near-shore (0-50m),23.67,in situ,benthic incubation chamber,TOU,NA,NA,no
New Caledonia,Pacific Ocean,-22.3227,166.4635,exact location,22,near-shore (0-50m),23.7264,ex situ,core incubation,TOU,mud,yes,no
Mid-Atlantic Bight,Atlantic Ocean,39.4881,-74.2339,approximated location,15,near-shore (0-50m),23.74,in situ,benthic incubation chamber,TOU,NA,yes,no
"Curonian Lagoon (SE Baltic Sea, Lithuania)",Atlantic Ocean,55.28,21.01,approximated location,3.5,near-shore (0-50m),23.76,ex situ ,core incubation,TOU,mud,yes,no
North Sea,Atlantic Ocean,53.7,4.5,exact location,39,near-shore (0-50m),23.77,ex situ ,core incubation,TOU,NA,NA,no
Chesapeake Bay,Atlantic Ocean,38.509,-76.3776,approximated location,16,near-shore (0-50m),23.79,ex situ ,core incubation,TOU,NA,NA,no
"Buzzard Bay, Massachusetts",Atlantic Ocean,41.53,-70.74,approximated location,10,near-shore (0-50m),23.8,ex situ ,core incubation,TOU,NA,no,no
Gulf of Fos,Mediterranean Sea,43.6147,4.9625,exact location,9,near-shore (0-50m),23.8,ex situ,core incubation,TOU,muddy sand,NA,no
Bering Sea,Pacific Ocean,63.07,-167.58,exact location,31,near-shore (0-50m),23.86,ex situ ,core incubation,TOU,NA,no,no
"Moreton Bay, Deception Bay",Pacific Ocean,-27.13,153.07,approximated location,29,near-shore (0-50m),23.86,ex situ ,core incubation,TOU,NA,yes,no
